hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],linear,1,10.0,16,0.33483054307880766
[4],linear,1,10.0,32,0.33483054307880766
[4],linear,1,10.0,64,0.33483054307880766
[4],linear,1,10.0,128,0.33483054307880766
[4],linear,1,10.0,256,0.337893017558187
[4],linear,1,10.0,512,0.3513679052674561
[4],linear,1,1.0,16,0.7125357288689261
[4],linear,1,1.0,32,0.7290730910575746
[4],linear,1,1.0,64,0.7127398938342181
[4],linear,1,1.0,128,0.7215189873417721
[4],linear,1,1.0,256,0.736218864842793
[4],linear,1,1.0,512,0.7396896692527563
[4],linear,1,0.1,16,0.7417313189056758
[4],linear,1,0.1,32,0.7447937933850551
[4],linear,1,0.1,64,0.7343813801551654
[4],linear,1,0.1,128,0.7055941200489996
[4],linear,1,0.1,256,0.689873417721519
[4],linear,1,0.1,512,0.6670069416088199
[4],linear,1,0.01,16,0.6992650061249489
[4],linear,1,0.01,32,0.690077582686811
[4],linear,1,0.01,64,0.666598611678236
[4],linear,1,0.01,128,0.5614536545528788
[4],linear,1,0.01,256,0.3856676194365047
[4],linear,1,0.01,512,0.3699469171090241
[4],linear,1,0.001,16,0.5496120865659453
[4],linear,1,0.001,32,0.6829318089015924
[4],linear,1,0.001,64,0.3346263781135157
[4],linear,1,0.001,128,0.49755002041649654
[4],linear,1,0.001,256,0.3066557778685178
[4],linear,1,0.001,512,0.5130665577786852
[4],linear,1,0.0001,16,0.5451204573295223
[4],linear,1,0.0001,32,0.6080032666394447
[4],linear,1,0.0001,64,0.5228664761126991
[4],linear,1,0.0001,128,0.6100449162923642
[4],linear,1,0.0001,256,0.3350347080440996
[4],linear,1,0.0001,512,0.47876684360963656
[4],linear,10,10.0,16,0.33483054307880766
[4],linear,10,10.0,32,0.33483054307880766
[4],linear,10,10.0,64,0.33483054307880766
[4],linear,10,10.0,128,0.33483054307880766
[4],linear,10,10.0,256,0.33483054307880766
[4],linear,10,10.0,512,0.33483054307880766
[4],linear,10,1.0,16,0.6894650877909351
[4],linear,10,1.0,32,0.680481829318089
[4],linear,10,1.0,64,0.7576561861984483
[4],linear,10,1.0,128,0.7419354838709677
[4],linear,10,1.0,256,0.745610453246223
[4],linear,10,1.0,512,0.7478562678644345
[4],linear,10,0.1,16,0.7513270722743978
[4],linear,10,0.1,32,0.7523478971008575
[4],linear,10,0.1,64,0.7488770926908942
[4],linear,10,0.1,128,0.745406288280931
[4],linear,10,0.1,256,0.7517354022049816
[4],linear,10,0.1,512,0.7403021641486321
[4],linear,10,0.01,16,0.749693752552062
[4],linear,10,0.01,32,0.7425479787668436
[4],linear,10,0.01,64,0.7392813393221723
[4],linear,10,0.01,128,0.7376480195998366
[4],linear,10,0.01,256,0.7100857492854227
[4],linear,10,0.01,512,0.6261739485504287
[4],linear,10,0.001,16,0.7164148632094732
[4],linear,10,0.001,32,0.6917109024091466
[4],linear,10,0.001,64,0.5249081257656186
