hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],linear,1,10.0,16,
[4],linear,1,10.0,32,
[4],linear,1,10.0,64,
[4],linear,1,10.0,128,
[4],linear,1,10.0,256,
[4],linear,1,10.0,512,
[4],linear,1,1.0,16,
[4],linear,1,1.0,32,
[4],linear,1,1.0,64,
[4],linear,1,1.0,128,
[4],linear,1,1.0,256,
[4],linear,1,1.0,512,
[4],linear,1,0.1,16,0.0161422
[4],linear,1,0.1,32,0.017761659
[4],linear,1,0.1,64,0.018088149
[4],linear,1,0.1,128,0.016942834
[4],linear,1,0.1,256,0.021920905
[4],linear,1,0.1,512,0.021615159
[4],linear,1,0.01,16,0.018660054
[4],linear,1,0.01,32,0.01882078
[4],linear,1,0.01,64,0.074867904
[4],linear,1,0.01,128,0.069978856
[4],linear,1,0.01,256,0.1308411
[4],linear,1,0.01,512,0.17886622
[4],linear,1,0.001,16,0.094023004
[4],linear,1,0.001,32,0.13245748
[4],linear,1,0.001,64,0.34076887
[4],linear,1,0.001,128,0.16813102
[4],linear,1,0.001,256,0.7887238
[4],linear,1,0.001,512,0.281839
[4],linear,1,0.0001,16,0.13567191
[4],linear,1,0.0001,32,0.7423119
[4],linear,1,0.0001,64,1.2562929
[4],linear,1,0.0001,128,0.23429057
[4],linear,1,0.0001,256,1.2225057
[4],linear,1,0.0001,512,0.60585016
[4],linear,10,10.0,16,
[4],linear,10,10.0,32,
[4],linear,10,10.0,64,
[4],linear,10,10.0,128,
[4],linear,10,10.0,256,
[4],linear,10,10.0,512,
[4],linear,10,1.0,16,
[4],linear,10,1.0,32,
[4],linear,10,1.0,64,
[4],linear,10,1.0,128,
[4],linear,10,1.0,256,
[4],linear,10,1.0,512,
[4],linear,10,0.1,16,0.015726892
[4],linear,10,0.1,32,0.016970841
[4],linear,10,0.1,64,0.015708096
[4],linear,10,0.1,128,0.015954312
[4],linear,10,0.1,256,0.015902406
[4],linear,10,0.1,512,0.017084384
[4],linear,10,0.01,16,0.0157971
[4],linear,10,0.01,32,0.020599337
[4],linear,10,0.01,64,0.016342472
[4],linear,10,0.01,128,0.018271219
[4],linear,10,0.01,256,0.02006113
[4],linear,10,0.01,512,0.03493689
[4],linear,10,0.001,16,0.017984428
[4],linear,10,0.001,32,0.01930227
[4],linear,10,0.001,64,0.040352553
[4],linear,10,0.001,128,0.10058264
[4],linear,10,0.001,256,0.17041945
[4],linear,10,0.001,512,0.06636323
[4],linear,10,0.0001,16,0.06924801
[4],linear,10,0.0001,32,0.18618783
[4],linear,10,0.0001,64,0.7009473
[4],linear,10,0.0001,128,0.269533
[4],linear,10,0.0001,256,0.62773126
[4],linear,10,0.0001,512,0.25024757
[4],linear,25,10.0,16,
[4],linear,25,10.0,32,
[4],linear,25,10.0,64,
[4],linear,25,10.0,128,
[4],linear,25,10.0,256,
[4],linear,25,10.0,512,
[4],linear,25,1.0,16,
[4],linear,25,1.0,32,
[4],linear,25,1.0,64,
[4],linear,25,1.0,128,
[4],linear,25,1.0,256,
[4],linear,25,1.0,512,
[4],linear,25,0.1,16,0.015774805
[4],linear,25,0.1,32,0.015804293
[4],linear,25,0.1,64,0.015715657
[4],linear,25,0.1,128,0.015740119
[4],linear,25,0.1,256,0.015700573
[4],linear,25,0.1,512,0.015843358
[4],linear,25,0.01,16,0.015794307
[4],linear,25,0.01,32,0.016272107
[4],linear,25,0.01,64,0.015888225
[4],linear,25,0.01,128,0.015747126
[4],linear,25,0.01,256,0.019997824
[4],linear,25,0.01,512,0.02120064
[4],linear,25,0.001,16,0.016111702
[4],linear,25,0.001,32,0.017808601
[4],linear,25,0.001,64,0.021301895
[4],linear,25,0.001,128,0.040361498
[4],linear,25,0.001,256,0.05911777
[4],linear,25,0.001,512,0.06376694
[4],linear,25,0.0001,16,0.039546054
[4],linear,25,0.0001,32,0.059754815
[4],linear,25,0.0001,64,0.092340715
[4],linear,25,0.0001,128,0.5109531
[4],linear,25,0.0001,256,0.12823033
[4],linear,25,0.0001,512,0.04608984
[4],linear,50,10.0,16,
[4],linear,50,10.0,32,
[4],linear,50,10.0,64,
[4],linear,50,10.0,128,
[4],linear,50,10.0,256,
[4],linear,50,10.0,512,
[4],linear,50,1.0,16,
[4],linear,50,1.0,32,
[4],linear,50,1.0,64,
[4],linear,50,1.0,128,
[4],linear,50,1.0,256,
[4],linear,50,1.0,512,
[4],linear,50,0.1,16,0.015904129
[4],linear,50,0.1,32,0.020390313
[4],linear,50,0.1,64,0.01574274
[4],linear,50,0.1,128,0.015858574
[4],linear,50,0.1,256,0.015740693
[4],linear,50,0.1,512,0.016120354
